id,date,tweet,TextBlob_Sentiment,TextBlob_Score,Vader_Sentiment,Vader_Score,Google_Score,Google_Magnitude,Avg_Score
1406129630894043139,2021-06-19 06:00:03+00:00,"This gorgeous cat is looking for a warm home and loving new owner. Take her home today!
HID: C_53595
To see the full list of adoption pets, kindly visit: https://t.co/o5pX5eXvAu
#ADAS #AdoptDontShop #AbuDhabi #Domesticshorthair #AnimalShelter https://t.co/CbtgZwU2Rq",positive,0.5034090909090909,positive,0.9168,0.5,1.5,0.640069696969697
1405944528599724034,2021-06-18 17:44:31+00:00,"Unsupervised - #AI system gains backing from #Continental for AD and #ADAS development 

https://t.co/2PuBzjoHV0
#SelfDrivingCars #IoT #5G #AutonomousVehicles #selfdriving #autonomous #Robotics #driverless #driverlesscars #startups #startup #Robot #SmartCity #Travel #tech #Robots https://t.co/eEi8xNyhHV",positive,0.4,positive,0.3612,0.0,0.0,0.25373333333333337
1405904754123935744,2021-06-18 15:06:28+00:00,"If your windshield gets replaced but not recalibrated, the #ADAS sensors within can cause disastrous outcomes: https://t.co/Z6310MnpQ5 #automotive",negative,-0.7,negative,-0.7469,-0.5,0.5,-0.6489666666666666
1405904343585464324,2021-06-18 15:04:50+00:00,"@Leddar_Tech will be exhibiting at #TechAD Europe July 1+2+ in Berlin 🇩🇪
Come see us at booth #6 &amp; let’s discuss challenges and solutions, tech, trends &amp; best practice innovations in #AD + #ADAS
https://t.co/gKvRrSFAX4
#TechAD #Berlin #Live #InPerson https://t.co/KataXI7miK",positive,0.5681818181818181,positive,0.7351,0.30000001192092896,0.30000001192092896,0.5344272767009156
1405881481969479680,2021-06-18 13:33:59+00:00,"The future of driving is not driving. Read the #avernablog to learn how #infotainment &amp; #ADAS are changing all the rules. #automotive #test #testengineering
https://t.co/dBcjb9Gm2G",neutral,0.0,neutral,0.0,-0.20000000298023224,1.0,-0.06666666766007741
1405865477574963205,2021-06-18 12:30:24+00:00,"ADAS has been the talk of the motor industry of late – but what does it actually do and how does it affect motorists?

Check out the Trust My Garage blog for the answers: https://t.co/Ed748gZkzK #ADAS #motoring #TrustMyGarage #blog @ConsumerCodes https://t.co/e2hXTC9tok",negative,-0.15,positive,0.6652,0.0,0.30000001192092896,0.17173333333333332
1405845722436616194,2021-06-18 11:11:54+00:00,"Acsia Technologies partners with Basemark- Times of India 
https://t.co/jFrXgwXafc
#Rocksolid #Automotive #HMI #ADAS #AD #AutonomousDrive #Machinevision #Softwaredefinedcar #Softwaredefinedvehicles",neutral,0.0,neutral,0.0,0.10000000149011612,0.10000000149011612,0.033333333830038704
1405798698748088321,2021-06-18 08:05:02+00:00,"Join us at ACIMobility: EB's Simon Tiedemann, takes you on a deep-dive about the orchestration of petabyte-scale data for algorithm training and #validation on June 23. https://t.co/mzw8YQtOny

#automotive  #ADAS #Elektrobit #ACIMobility https://t.co/wm43mJEnC5",neutral,0.0,positive,0.296,0.0,0.30000001192092896,0.09866666666666667
1405773040332382210,2021-06-18 06:23:05+00:00,"https://t.co/w2vU8Q4E5J

Haven't come across this until I googled my name! :P
#OSU #SIMCenter #CAR #OhioStateUniversity #ADAS #CAVS",positive,0.75,positive,0.3164,0.30000001192092896,0.699999988079071,0.45546667064030966
1405764741285384196,2021-06-18 05:50:06+00:00,"Cattle are part of your family. Losing even one from them would cause emotional and financial trauma to you. Keep your cattle within your sight with cattle tracking. 

#ANS #ANSITINDIA #driver #assistance #speed #vehicle #vehicles #road #driving #ADAS #DriverMonitoring https://t.co/FcREHp7bm0",neutral,0.0,negative,-0.5859,-0.30000001192092896,1.399999976158142,-0.295300003973643
1405707732674482178,2021-06-18 02:03:34+00:00,The rise of robotaxis in China https://t.co/q3p2CsLnLU #ArtificialIntelligence #Automotive #TC #Transportation #ADAS https://t.co/BunB1eBkvN,neutral,0.0,neutral,0.0,0.10000000149011612,0.10000000149011612,0.033333333830038704
1405688114283106309,2021-06-18 00:45:37+00:00,#Blog #ADAS Demystifying LiDAR: An In-Depth Guide to the Great Wavelength Debate https://t.co/nF8SFuiMlz via @eetimes https://t.co/p4iMcMkk9m,positive,0.8,positive,0.6249,0.10000000149011612,0.10000000149011612,0.5083000004967054
1405635958054154241,2021-06-17 21:18:22+00:00,"Learn how our latest storage and memory solutions will advance the future of automotive tech, through infotainment systems, #ADAS, #FuSa, #autonomousvehicles and more. https://t.co/378r33glYr https://t.co/P5Rx3cikyB",positive,0.3333333333333333,positive,0.1779,0.4000000059604645,0.4000000059604645,0.3037444464312659
