,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
0.0,0,"[('tesla', 0.024480969), ('people', 0.02314206), ('playing', 0.015958205), ('video', 0.013949315), ('distracted', 0.013345331), ('game', 0.011424783), ('news', 0.01120957), ('blame', 0.010749123), ('deadly', 0.0106515745), ('drive', 0.010533741)]",10,0.122
1.0,1,"[('distracted', 0.026583964), ('use', 0.024059441), ('apple', 0.020771109), ('gt', 0.016158054), ('fatal', 0.015764918), ('tesla', 0.01566446), ('car', 0.0146284485), ('self', 0.014320029), ('ntsb', 0.011185251), ('banning', 0.010946224)]",9,0.1098
2.0,2,"[('tesla', 0.022568563), ('autonomous', 0.020243892), ('distracted', 0.01370708), ('self', 0.012068042), ('scary', 0.010773004), ('level', 0.010099598), ('cant', 0.009939005), ('sells', 0.009722317), ('full', 0.009581128), ('people', 0.008138421)]",8,0.0976
3.0,3,"[('drivers', 0.023448907), ('makes', 0.016303001), ('elements', 0.015822778), ('one', 0.014870108), ('drive', 0.014531846), ('happened', 0.010887957), ('speed', 0.008788503), ('cant', 0.00875574), ('implicated', 0.008755691), ('teslas', 0.008755673)]",4,0.0488
4.0,4,"[('car', 0.023782726), ('without', 0.017352208), ('aware', 0.012918134), ('fully', 0.0129181305), ('side', 0.012918017), ('driver', 0.01076374), ('wheel', 0.010494484), ('hands', 0.01041068), ('phone', 0.010381563), ('using', 0.008518393)]",5,0.061
5.0,5,"[('tesla', 0.016480414), ('use', 0.014928273), ('ntsb', 0.014834891), ('fatal', 0.014718265), ('apple', 0.01450322), ('mac', 0.014503166), ('employee', 0.014502777), ('criticizes', 0.0145026585), ('banning', 0.014502503), ('rumors', 0.014502142)]",1,0.0122
6.0,6,"[('tesla', 0.030676523), ('driver', 0.027652957), ('drivers', 0.02758257), ('systems', 0.01730209), ('says', 0.017142557), ('use', 0.013884651), ('drive', 0.013882835), ('car', 0.013611278), ('playing', 0.012925517), ('self', 0.01137437)]",13,0.1585
7.0,7,"[('tesla', 0.06439614), ('deadly', 0.043685745), ('distracted', 0.04368414), ('blame', 0.04368301), ('teslas', 0.01671966), ('self', 0.016719356), ('done', 0.011326608), ('able', 0.011326169), ('news', 0.011326053), ('must', 0.011325773)]",17,0.2073
8.0,8,"[('tesla', 0.06283614), ('distracted', 0.043767396), ('blame', 0.035101578), ('driver', 0.028239077), ('deadly', 0.026433917), ('ntsb', 0.017768107), ('news', 0.017767768), ('fatal', 0.01776735), ('technologies', 0.013434595), ('regulators', 0.013434549)]",13,0.1585
9.0,9,"[('tesla', 0.021217594), ('cant', 0.018872585), ('highway', 0.017515667), ('year', 0.017515551), ('teslas', 0.013713057), ('able', 0.013243311), ('distracted', 0.012747061), ('mountain', 0.009175244), ('died', 0.009175213), ('old', 0.0091751525)]",2,0.0244
