,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
0.0,0,"[('much', 0.03536104), ('data', 0.023112023), ('think', 0.020579869), ('tesla', 0.019816026), ('less', 0.012106421), ('breakup', 0.012106363), ('highways', 0.012106306), ('highway', 0.012106267), ('cars', 0.012106255), ('applications', 0.012106238)]",3,0.0857
1.0,1,"[('love', 0.024624906), ('fsd', 0.024624707), ('day', 0.024624696), ('apples', 0.017164847), ('drive', 0.014483154), ('see', 0.012898969), ('unless', 0.0128989), ('deliveries', 0.012898891), ('handling', 0.012898804), ('kinda', 0.012898788)]",2,0.0571
2.0,2,"[('data', 0.031218417), ('website', 0.02114833), ('ai', 0.021148), ('good', 0.021147443), ('ashland', 0.01107769), ('month', 0.011077645), ('past', 0.011077636), ('drive', 0.011077626), ('government', 0.011077626), ('brings', 0.011077611)]",3,0.0857
3.0,3,"[('thoughts', 0.019321015), ('sro', 0.019320956), ('really', 0.019320669), ('good', 0.019320644), ('home', 0.019320635), ('eu', 0.019320536), ('irl', 0.019320516), ('translate', 0.01932039), ('idea', 0.019320175), ('benefits', 0.01931987)]",1,0.0286
4.0,4,"[('via', 0.026187053), ('school', 0.026186982), ('night', 0.026186911), ('drive', 0.026186768), ('tesla', 0.0023818822), ('future', 0.0023813497), ('self', 0.0023813245), ('good', 0.0023812582), ('safer', 0.0023812416), ('full', 0.0023812088)]",1,0.0286
5.0,5,"[('drive', 0.031991914), ('medford', 0.028462816), ('school', 0.017910054), ('rain', 0.017909124), ('via', 0.017908592), ('granted', 0.016281076), ('times', 0.016146956), ('year', 0.015925227), ('recently', 0.015763646), ('way', 0.015729835)]",2,0.0571
6.0,6,"[('safer', 0.023932984), ('safety', 0.02056828), ('driven', 0.019471364), ('million', 0.015632574), ('tesla', 0.015632473), ('ap', 0.015632413), ('drinking', 0.01563241), ('one', 0.015632363), ('every', 0.01563232), ('accident', 0.015632134)]",6,0.1714
7.0,7,"[('highway', 0.034287017), ('apples', 0.02882577), ('stats', 0.023024522), ('via', 0.016652917), ('posture', 0.016652854), ('proper', 0.016652614), ('school', 0.016652253), ('city', 0.014548052), ('feature', 0.014290342), ('comparison', 0.01206176)]",2,0.0571
8.0,8,"[('tesla', 0.0320854), ('self', 0.019748395), ('full', 0.019642726), ('hug', 0.0143870665), ('age', 0.014386958), ('comma', 0.014386686), ('much', 0.013613236), ('love', 0.012046091), ('stats', 0.011504266), ('thing', 0.010491049)]",4,0.1143
9.0,9,"[('tesla', 0.052513216), ('still', 0.023757592), ('self', 0.022290638), ('better', 0.018465087), ('good', 0.016837073), ('almost', 0.012508826), ('safer', 0.012508675), ('order', 0.012508615), ('non', 0.012508592), ('future', 0.012507745)]",11,0.3143
