Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,2,0.01,0.01,0.2017863528602472
100% Corpus,2,0.01,0.31,0.20991563081237774
100% Corpus,2,0.01,0.61,0.24128263466998362
100% Corpus,2,0.01,0.9099999999999999,0.27223247300002473
100% Corpus,2,0.01,symmetric,0.24128263466998365
100% Corpus,2,0.31,0.01,0.21762033774023254
100% Corpus,2,0.31,0.31,0.21733742656947236
100% Corpus,2,0.31,0.61,0.2438813171682438
100% Corpus,2,0.31,0.9099999999999999,0.24456819558520812
100% Corpus,2,0.31,symmetric,0.23816631116773154
100% Corpus,2,0.61,0.01,0.24335790475991764
100% Corpus,2,0.61,0.31,0.2604794620558929
100% Corpus,2,0.61,0.61,0.29152344673484876
100% Corpus,2,0.61,0.9099999999999999,0.2953257384443554
100% Corpus,2,0.61,symmetric,0.29152344673484876
100% Corpus,2,0.9099999999999999,0.01,0.2511490271905621
100% Corpus,2,0.9099999999999999,0.31,0.27090149601988206
100% Corpus,2,0.9099999999999999,0.61,0.2828229745644366
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.29152344673484876
100% Corpus,2,0.9099999999999999,symmetric,0.2828229745644366
100% Corpus,2,symmetric,0.01,0.23518694228766276
100% Corpus,2,symmetric,0.31,0.2557524097406997
100% Corpus,2,symmetric,0.61,0.2953257384443554
100% Corpus,2,symmetric,0.9099999999999999,0.2882093115392012
100% Corpus,2,symmetric,symmetric,0.2894253320555958
100% Corpus,2,asymmetric,0.01,0.21799982640635168
100% Corpus,2,asymmetric,0.31,0.2198611696796273
100% Corpus,2,asymmetric,0.61,0.22815487764919917
100% Corpus,2,asymmetric,0.9099999999999999,0.2205909421340842
100% Corpus,2,asymmetric,symmetric,0.22815487764919917
100% Corpus,3,0.01,0.01,0.24128969705718759
100% Corpus,3,0.01,0.31,0.27911118583490574
100% Corpus,3,0.01,0.61,0.3008684861800707
100% Corpus,3,0.01,0.9099999999999999,0.3383762900466916
100% Corpus,3,0.01,symmetric,0.2769867721959381
100% Corpus,3,0.31,0.01,0.23293647202401857
100% Corpus,3,0.31,0.31,0.25300369416597024
100% Corpus,3,0.31,0.61,0.2715861598785459
100% Corpus,3,0.31,0.9099999999999999,0.331319074555415
100% Corpus,3,0.31,symmetric,0.26940214363551324
100% Corpus,3,0.61,0.01,0.3052676106588687
100% Corpus,3,0.61,0.31,0.2855859579862671
100% Corpus,3,0.61,0.61,0.3067571422869733
100% Corpus,3,0.61,0.9099999999999999,0.28698515059036944
100% Corpus,3,0.61,symmetric,0.2790232041313175
100% Corpus,3,0.9099999999999999,0.01,0.2977858813381383
100% Corpus,3,0.9099999999999999,0.31,0.2985520746329064
100% Corpus,3,0.9099999999999999,0.61,0.2836531063629962
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.2825702017570075
100% Corpus,3,0.9099999999999999,symmetric,0.293712440998402
100% Corpus,3,symmetric,0.01,0.22240763263434857
100% Corpus,3,symmetric,0.31,0.25473280569496937
100% Corpus,3,symmetric,0.61,0.23969847283942447
100% Corpus,3,symmetric,0.9099999999999999,0.3276433629888405
100% Corpus,3,symmetric,symmetric,0.2832527668589634
100% Corpus,3,asymmetric,0.01,0.27729126763863643
100% Corpus,3,asymmetric,0.31,0.2641470728079802
100% Corpus,3,asymmetric,0.61,0.366279164046109
100% Corpus,3,asymmetric,0.9099999999999999,0.36605671788264454
100% Corpus,3,asymmetric,symmetric,0.28943718922452627
100% Corpus,4,0.01,0.01,0.24718834883872498
100% Corpus,4,0.01,0.31,0.2760573042758312
100% Corpus,4,0.01,0.61,0.45471637889851735
100% Corpus,4,0.01,0.9099999999999999,0.3672050850287254
100% Corpus,4,0.01,symmetric,0.24842228574954356
100% Corpus,4,0.31,0.01,0.24175053307455563
100% Corpus,4,0.31,0.31,0.308780865935451
100% Corpus,4,0.31,0.61,0.31753884839722457
100% Corpus,4,0.31,0.9099999999999999,0.4230332732439803
100% Corpus,4,0.31,symmetric,0.23669689363389212
100% Corpus,4,0.61,0.01,0.274177604711909
100% Corpus,4,0.61,0.31,0.293378749983544
100% Corpus,4,0.61,0.61,0.30813906800491814
100% Corpus,4,0.61,0.9099999999999999,0.32244261961419357
100% Corpus,4,0.61,symmetric,0.2754913625241067
100% Corpus,4,0.9099999999999999,0.01,0.2774298418236882
100% Corpus,4,0.9099999999999999,0.31,0.32147589342174987
100% Corpus,4,0.9099999999999999,0.61,0.3330259335413287
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.32208115099607415
100% Corpus,4,0.9099999999999999,symmetric,0.30118465727403865
100% Corpus,4,symmetric,0.01,0.23960709994329335
100% Corpus,4,symmetric,0.31,0.307888089773145
100% Corpus,4,symmetric,0.61,0.4011921862103619
100% Corpus,4,symmetric,0.9099999999999999,0.3617801475008201
100% Corpus,4,symmetric,symmetric,0.28522980459908676
100% Corpus,4,asymmetric,0.01,0.21951643137893687
100% Corpus,4,asymmetric,0.31,0.2709008805446049
100% Corpus,4,asymmetric,0.61,0.36876641595271464
100% Corpus,4,asymmetric,0.9099999999999999,0.40286973552184857
100% Corpus,4,asymmetric,symmetric,0.2618638161401716
100% Corpus,5,0.01,0.01,0.28608448855968216
100% Corpus,5,0.01,0.31,0.29224771089990964
100% Corpus,5,0.01,0.61,0.3988515180114346
100% Corpus,5,0.01,0.9099999999999999,0.43551463181657174
100% Corpus,5,0.01,symmetric,0.28233480383057535
100% Corpus,5,0.31,0.01,0.26815869318577523
100% Corpus,5,0.31,0.31,0.26968214564658577
100% Corpus,5,0.31,0.61,0.3730371426656696
100% Corpus,5,0.31,0.9099999999999999,0.41829732744515213
100% Corpus,5,0.31,symmetric,0.2652596679129377
100% Corpus,5,0.61,0.01,0.2810944294303029
100% Corpus,5,0.61,0.31,0.3100925906613088
