,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,0,1.0,0.7438,"car, tesla, driver, self, one, like, get, road, drive, cars",excellent thread from illustrating the critical importance of ensuring drivers are always paying attention when using l2 adas these systems are not capable of autonomous driving and drivers must always be ready to react to system disengagements mandatecameradms 
1,1,7.0,0.3419,"like, fsd, tesla, highway, dont, autonomous, really, know, already, im", it's like driving a hybrid a legacy automaker's adas mobileye with tesla engineering for driving
2,2,1.0,0.6677,"car, tesla, driver, self, one, like, get, road, drive, cars", agreed if you are using it as adas which is what it is otherwise it's like drunk driving 
3,3,6.0,0.6234,"hands, free, wheel, gm, like, tesla, cadillac, need, even, one", let us just wait until both cars can be compared side-to-side model s will have better acceleration and ui eqs will have more range more comfort more functions and less driving noises and since fsd is not available and limited by eu in germany it will also have better adas 
4,4,2.0,0.779,"self, tesla, full, fsd, people, like, cars, driver, car, tsla", what is a u-turn from ai generated mirages of computer simulated self-driving miles to adas reality 
5,5,2.0,0.851,"self, tesla, full, fsd, people, like, cars, driver, car, tsla", whats going on - continues to call the tesla ap gradually improving adas by the misleading term fsd - aurora waymo unable to acknowledge that what they are doing now is an u-turn from ai generated mirages of computer simulated self-driving miles to adas reality 
6,6,4.0,0.5427,"tesla, full, self, work, drive, like, go, without, think, still",when u r 5 years into full self-driving development with nothing more to showthan [constantly improving adas to make happy a million loyal customers] nothing has more degrees of freedom than reality the movement is everything the final goal is nothing - eduard bernstein 
7,7,1.0,0.5362,"car, tesla, driver, self, one, like, get, road, drive, cars", ive noticed on the tesla global career page theres been a massive amount of adas testers theyve been hiring the past 6 months i think they r getting a ton of ppl driving and documenting all day long for safety reasons prob best to keep it in-house till more stable version 
8,8,2.0,0.4066,"self, tesla, full, fsd, people, like, cars, driver, car, tsla",zf releases new ai-based services for adas development | autonomous vehicle int autonomouscar selfdrivingcar
9,9,6.0,0.8507,"hands, free, wheel, gm, like, tesla, cadillac, need, even, one",additionally the nhtsa's first real foray into analyzing the safety of a modern automated driving feature could not have been much worse it is simply not credible that the nhtsa can appropriately analyze an undoubtedly more complex adas dataset 2/14
